code|color_custom|chassis_custom|engine_custom|wheels_custom|suspension_custom|delivery_time
ACU38FAFF99|1|0|1|0|0|10
ACU3620BF28|0|1|1|1|1|3
ACU8A0D3A80|1|0|0|1|0|4
ACUAAA8AC9F|1|0|1|1|1|8
ACU3CC7286B|0|1|1|0|0|6
ACUBD7AABF5|1|0|1|1|0|5
ACU26072F0B|1|1|1|1|1|4
AUDCCCAA28C|1|1|0|1|1|4
AUD49B407AF|1|1|1|0|0|5
AUD36C00CFF|1|1|1|0|0|7
AUD9C706211|1|1|0|1|1|4
AUD883D761A|0|1|1|0|0|9
AUDF1D681BD|0|1|0|1|0|9
AUD822442B3|0|1|0|0|0|4
AUDFD157DD6|0|1|0|1|0|9
AUDB029B75C|0|1|1|1|0|8
AUD3CA28C21|0|0|0|1|1|9
AUD16A34159|0|1|1|0|1|4
AUD2655C09E|1|1|1|0|1|4
AUDD1FE4ECD|0|1|0|1|0|4
AUD354BE625|0|1|1|1|0|8
AUDDFA0F828|0|1|1|1|1|6
AUD603655C3|0|1|1|0|0|9
AUD98633396|0|1|0|0|0|9
AUD33E2F515|1|0|0|1|0|3
AUD4E817D62|0|0|1|1|0|3
BMW3A0B061B|0|0|0|0|0|7
BMWB12AEE17|0|1|1|1|0|9
BMW14054A6E|1|0|0|1|0|3
BMW144DD9FB|0|1|0|0|0|5
BMW4E04B883|0|0|0|0|1|9
BMW7C96325E|0|0|1|1|0|7
BMWB52F4591|0|1|0|1|0|7
BMW67696790|1|0|1|1|1|2
BMWA586CABF|1|1|0|1|0|10
BMW307AE5C1|0|1|1|1|1|5
BMW735A8F87|1|1|1|1|0|3
BMW51606127|0|0|0|0|1|5
BMW7063B9A0|1|1|0|0|0|4
BMW70DCCF5D|1|0|1|0|1|3
BMW64E08F4C|0|1|0|0|0|9
BMWE0E5643E|0|1|0|0|1|8
BMWCCAB8998|1|0|0|1|1|7
BMWEE4E9DE5|1|1|0|1|1|8
BMW363EF657|1|1|1|0|1|9
BMW28855B42|1|0|1|0|1|6
BUI52978618|1|1|1|1|1|9
BUI482E6A31|0|0|1|0|1|4
BUI560319A4|0|1|0|0|1|8
BUIA5330398|1|1|0|1|0|5
BUI1BD52713|0|0|1|1|0|9
BUI8CFD828E|0|1|0|1|0|2
BUI69EF76B1|0|1|0|1|0|9
BUI9986FE17|0|0|1|0|0|4
BUI4D83CA77|1|0|1|1|1|3
CAD079020A1|1|1|1|1|1|2
CAD6686D405|0|1|0|0|1|2
CAD61E8AD8A|0|1|0|0|0|8
CADB88EC50C|1|0|1|0|1|7
CAD2B26FD02|0|0|0|0|1|4
CADB5DB50CD|1|0|0|1|1|5
CAD2F983923|1|1|0|0|1|8
CAD578A474F|1|1|0|1|1|4
CHE72CE4A3F|1|1|0|1|0|5
CHE8EED569E|1|1|0|1|0|3
CHE450CE6D9|0|1|1|1|1|2
CHEEA01D3E9|0|0|1|1|0|2
CHE5D2217BC|1|1|0|0|0|4
CHE248CDB95|0|0|0|0|1|2
CHEBDECE4F9|1|1|0|1|1|2
CHE470F741D|1|0|0|1|1|3
CHECA25D5D9|1|1|1|1|0|4
CHEEDDE6726|1|0|0|0|1|8
CHE01694D50|1|1|1|1|0|10
CHEBBDE1827|0|1|0|1|1|4
CHE993D0F35|1|0|1|1|1|5
CHEDE5B9621|1|0|1|1|1|3
CHE3637225E|0|0|0|1|0|6
CHEACE10AE0|1|1|1|0|1|10
CHED0766BF4|1|0|0|0|0|8
CHE60EA7CDE|1|1|1|1|0|10
CHE158F2C8B|0|1|1|1|1|2
CHE4605F5F9|1|1|0|0|0|8
CHECDBFE8D4|0|1|1|1|1|5
CHEE1244110|1|0|1|1|0|5
CHE3755A399|1|0|0|0|0|6
CHE73C4CA9C|1|0|1|0|0|8
CHE73533781|1|0|0|0|1|6
CHE16CCEA29|1|1|0|1|1|4
CHE177B9173|0|0|1|1|0|9
CHRF92F068D|0|0|1|0|0|2
CHR1CF1D8CD|1|0|1|1|0|2
CHRE21B0803|1|1|0|0|0|3
CHR2844A5B6|0|0|0|1|0|8
CHR9FC78DBA|0|1|1|0|0|6
CHRA0C81467|0|0|0|0|0|5
CHR32689528|0|1|0|0|1|5
CHRDBE70DCC|0|0|0|1|1|6
CHRA03822E8|1|1|1|0|1|5
CHRE4F8C2BA|1|1|1|0|0|2
CHRA80B66B1|0|0|1|0|1|3
CHRA21A8365|1|0|0|0|1|5
CHR00E089AD|1|1|0|0|0|5
CHR6289DBDB|0|1|0|0|0|6
CHR7D688224|0|0|0|0|1|7
DODEABCB63F|0|0|0|1|0|6
DOD39549D99|1|0|1|1|1|8
DODE1FFA9AB|1|1|1|1|0|10
DOD7F979BC7|0|0|1|1|1|10
DODB33D912D|0|0|0|1|1|4
DOD796C9E7C|1|1|1|1|0|10
DOD30B41E72|0|0|0|1|1|8
DODF62C6393|0|0|0|0|0|10
DOD318AA619|0|0|0|1|0|10
DOD696670B5|0|1|0|0|0|8
DODBFA9E1D1|0|0|1|1|0|6
DODBFDD0548|0|0|0|0|1|8
DOD83AACB16|0|0|0|1|1|2
FOR8E1ED168|0|1|1|1|1|5
FOR096278B7|1|0|1|0|0|9
FORF7BD2348|0|1|0|0|0|3
FOR1A7F0B12|0|1|1|1|0|2
FOR2F1C74F4|0|1|0|1|1|8
FORB93D9591|0|0|0|0|1|2
FOR3287513F|1|0|0|0|1|10
FORB3626D98|0|0|1|1|1|9
FORCEE390FE|1|0|1|0|0|7
FOR93850843|0|1|1|1|1|7
FORB408CE29|0|1|0|0|0|4
FORAEA09136|1|1|0|1|0|6
FOR06A33E79|1|1|0|1|0|4
FOR0073BE2E|0|1|0|0|0|3
FOR4E047DB6|0|1|1|0|1|7
FOR0901AA58|0|0|0|1|1|3
FORC0A9917B|0|1|0|1|1|8
FOR5E10EBA0|1|0|1|1|0|7
FORF597A55E|0|0|0|0|0|10
FORAC85E261|0|1|0|0|1|3
FOR82634A24|1|0|1|0|0|10
FOR62C3D479|1|1|1|0|1|4
FORFF05BAF8|0|1|0|0|1|8
GMCB078A4D5|1|1|0|0|1|10
GMCF8F3FDE3|0|0|1|0|0|3
GMC5BCFBAE9|0|0|1|1|0|9
GMCC44A1B78|0|0|0|0|1|4
