code|gt7_available|acc_available|fh5_available|pc2_available|ir_available|rf2_available
ACU38FAFF99|1|1|1|0|1|0
ACU3620BF28|0|0|1|0|1|0
ACU8A0D3A80|1|1|1|1|0|0
ACUAAA8AC9F|0|0|0|0|0|0
ACU3CC7286B|0|0|0|1|1|0
ACUBD7AABF5|0|1|0|1|1|1
ACU26072F0B|1|1|1|0|0|1
AUDCCCAA28C|1|1|1|1|1|0
AUD49B407AF|1|0|0|0|1|1
AUD36C00CFF|0|1|0|0|1|0
AUD9C706211|0|1|1|0|0|0
AUD883D761A|1|1|1|0|0|1
AUDF1D681BD|0|0|1|0|1|0
AUD822442B3|0|0|0|1|0|1
AUDFD157DD6|1|0|1|0|1|1
AUDB029B75C|0|1|0|0|0|0
AUD3CA28C21|0|1|0|0|0|0
AUD16A34159|1|1|1|1|1|1
AUD2655C09E|0|1|1|1|1|1
AUDD1FE4ECD|0|0|1|1|0|0
AUD354BE625|1|1|1|0|1|0
AUDDFA0F828|0|1|1|0|1|1
AUD603655C3|1|1|1|1|0|1
AUD98633396|1|0|0|1|1|0
AUD33E2F515|0|0|0|0|1|1
AUD4E817D62|0|1|0|1|1|1
BMW3A0B061B|1|1|0|1|0|1
BMWB12AEE17|0|0|0|1|1|1
BMW14054A6E|1|1|0|1|0|0
BMW144DD9FB|0|1|0|0|0|0
BMW4E04B883|1|0|0|1|0|1
BMW7C96325E|1|0|0|1|1|0
BMWB52F4591|0|1|1|0|1|0
BMW67696790|1|1|0|0|1|1
BMWA586CABF|0|1|1|0|1|0
BMW307AE5C1|0|0|0|1|0|1
BMW735A8F87|0|0|0|1|0|1
BMW51606127|0|1|1|1|0|0
BMW7063B9A0|0|1|0|1|0|0
BMW70DCCF5D|0|1|0|1|1|0
BMW64E08F4C|0|0|1|0|1|0
BMWE0E5643E|0|1|0|0|1|1
BMWCCAB8998|0|0|0|0|1|0
BMWEE4E9DE5|1|1|1|1|0|0
BMW363EF657|1|1|1|1|1|0
BMW28855B42|1|1|1|1|0|0
BUI52978618|1|0|0|1|1|0
BUI482E6A31|1|1|1|1|0|1
BUI560319A4|1|0|0|1|0|1
BUIA5330398|1|1|0|1|1|1
BUI1BD52713|0|1|1|1|0|1
BUI8CFD828E|1|1|0|0|1|0
